Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel,Fuel Type,Dealer/Channel,Market Segment,Promotion/Discounts (%),Customer Income Band,Unit Price
1/1/2019,2019,BMW X2,94654,2,Africa,Nigeria,Wholesale,Hybrid,Online,Premium,1.4,Medium,47327
1/1/2019,2019,BMW M4,111259,1,Africa,Nigeria,Wholesale,Gasoline,Offline,Luxury,1.4,High,111259
2/1/2019,2019,BMW 6 Series,94881,3,South America,Unknown,Wholesale,Gasoline,Fleet,Premium,2.4,Medium,31627
4/1/2019,2019,BMW X2,35293,4,Asia,China,Wholesale,Hybrid,Online,Economy,3.9,Medium,8823.25
4/1/2019,2019,BMW M2,76275,5,Asia,Japan,Wholesale,Electric,Offline,Economy,5.3,Medium,15255
5/1/2019,2019,BMW iX3,74929,3,Asia,China,Wholesale,Electric,Offline,Economy,6,Low,24976.33333
6/1/2019,2019,BMW 8 Series,82563,4,South America,Unknown,Dealership,Gasoline,Offline,Economy,5.7,Low,20640.75
7/1/2019,2019,BMW 7 Series,71767,3,South America,Unknown,Wholesale,Electric,Offline,Economy,7,Low,23922.33333
7/1/2019,2019,BMW iX3,67202,4,Africa,Nigeria,Wholesale,Electric,Fleet,Economy,7,Low,16800.5
7/1/2019,2019,BMW i4,82195,5,Asia,China,Wholesale,Electric,Online,Economy,5.5,High,16439
8/1/2019,2019,BMW X4,106309,3,Europe,Germany,Wholesale,Electric,Fleet,Premium,0.9,Low,35436.33333
8/1/2019,2019,BMW M3,35983,4,Europe,France,Wholesale,Electric,Offline,Economy,5,Medium,8995.75
8/1/2019,2019,BMW X6,74863,1,South America,Unknown,Dealership,Diesel,Offline,Luxury,1.5,Medium,74863
9/1/2019,2019,BMW 5 Series,59157,2,North America,USA,Dealership,Hybrid,Fleet,Premium,1.6,Low,29578.5
9/1/2019,2019,BMW X6,59493,4,North America,Mexico,Wholesale,Diesel,Fleet,Economy,8.4,Low,14873.25
10/1/2019,2019,BMW M5,89019,4,Europe,France,Dealership,Electric,Offline,Economy,8.3,Low,22254.75
10/1/2019,2019,BMW 8 Series,113748,4,North America,USA,Wholesale,Gasoline,Offline,Premium,0.2,Low,28437
10/1/2019,2019,BMW 8 Series,68568,3,North America,USA,Wholesale,Gasoline,Fleet,Economy,7,Low,22856
11/1/2019,2019,BMW M4,118264,2,Europe,Germany,Wholesale,Gasoline,Offline,Luxury,2.8,High,59132
12/1/2019,2019,BMW X1,78586,3,Europe,UK,Wholesale,Diesel,Offline,Premium,1.2,Medium,26195.33333
12/1/2019,2019,BMW M4,44063,4,North America,Canada,Wholesale,Gasoline,Fleet,Economy,10,Low,11015.75
12/1/2019,2019,BMW 2 Series,82810,4,South America,Unknown,Dealership,Diesel,Fleet,Economy,3.2,Low,20702.5
,,,,,,,,,,,,,
13/01/2019,2019,BMW M4,99626,2,Asia,India,Wholesale,Gasoline,Offline,Luxury,1.3,High,49813
